prior_setting,quantity,delta_T,mission_cycles,median,q025,q975,uncertainty_method
baseline,B10_cycles,20.0,,15411.104687693367,5438.165645140409,40510.1939810769,MCMC posterior
baseline,B10_cycles,25.0,,8890.920648555079,3547.367640262164,20774.074733561847,MCMC posterior
baseline,B10_cycles,35.0,,3856.15686950761,1857.315542783925,7605.3486861511565,MCMC posterior
baseline,Survival_probability,20.0,5000.0,0.9956981376555369,0.9196060420834002,0.9998414810402014,MCMC posterior
baseline,Survival_probability,20.0,10000.0,0.9695259674859104,0.5909811636786644,0.99854521517838,MCMC posterior
baseline,Survival_probability,25.0,5000.0,0.9796269804783353,0.7771727063001463,0.9987158733479946,MCMC posterior
baseline,Survival_probability,25.0,10000.0,0.862012334459401,0.18225697817565578,0.9891404657107198,MCMC posterior
baseline,Survival_probability,35.0,5000.0,0.8015574013680333,0.23622519833198136,0.9720368959874337,MCMC posterior
baseline,Survival_probability,35.0,10000.0,0.19720496643534324,1.2228794753280121e-05,0.7899965729905633,MCMC posterior
diffuse,B10_cycles,20.0,,14523.877483867955,5084.185964665572,47057.29953697928,MCMC posterior
diffuse,B10_cycles,25.0,,8397.374092591566,3376.6423796669774,23628.765164184864,MCMC posterior
diffuse,B10_cycles,35.0,,3712.356488689519,1790.4254722262888,8316.037522984796,MCMC posterior
diffuse,Survival_probability,20.0,5000.0,0.9950420040255235,0.904138023431256,0.999867072316023,MCMC posterior
diffuse,Survival_probability,20.0,10000.0,0.9650281904689685,0.531645425326746,0.9988868254776888,MCMC posterior
diffuse,Survival_probability,25.0,5000.0,0.9767098285573604,0.7382206567516688,0.9989544620663502,MCMC posterior
diffuse,Survival_probability,25.0,10000.0,0.84202580576599,0.12727146017167776,0.9910758341878202,MCMC posterior
diffuse,Survival_probability,35.0,5000.0,0.7816181696218821,0.1841365539639275,0.9760922687765885,MCMC posterior
diffuse,Survival_probability,35.0,10000.0,0.17241560442395945,3.2108858370517785e-06,0.8388787404601628,MCMC posterior
conservative,B10_cycles,20.0,,15382.47326534523,6538.014187978732,36711.139249603155,MCMC posterior
conservative,B10_cycles,25.0,,8879.710816109307,4182.48732444314,19035.00896498376,MCMC posterior
conservative,B10_cycles,35.0,,3864.069065241184,2090.102691146268,7065.354675764286,MCMC posterior
conservative,Survival_probability,20.0,5000.0,0.9957875640054703,0.9490496693996796,0.999803463101977,MCMC posterior
conservative,Survival_probability,20.0,10000.0,0.9701201172973146,0.7254985813525076,0.9979726424989133,MCMC posterior
conservative,Survival_probability,25.0,5000.0,0.9798965550648437,0.8414881364329284,0.9983877717279601,MCMC posterior
conservative,Survival_probability,25.0,10000.0,0.8619706246898814,0.30414002760694864,0.9847683105095818,MCMC posterior
conservative,Survival_probability,35.0,5000.0,0.8022882888934463,0.3254802820118244,0.964996936692336,MCMC posterior
conservative,Survival_probability,35.0,10000.0,0.19419679125887737,0.00019352478486444342,0.7494448173781079,MCMC posterior
