setting,diagnostic,parameter_or_chain,value
baseline_beta1_gt_0p5,chain_acceptance,chain_1,0.21515
baseline_beta1_gt_0p5,chain_acceptance,chain_2,0.23925
baseline_beta1_gt_0p5,chain_acceptance,chain_3,0.24805
baseline_beta1_gt_0p5,rhat,k,1.00061399
baseline_beta1_gt_0p5,rhat,beta1,1.00007906
baseline_beta1_gt_0p5,rhat,beta0,1.00008881
baseline_beta1_gt_0p5,ess,k,4339.82896
baseline_beta1_gt_0p5,ess,beta1,3833.35788
baseline_beta1_gt_0p5,ess,beta0,3828.13418
support_relaxed_beta1_gt_0,chain_acceptance,chain_1,0.22170
support_relaxed_beta1_gt_0,chain_acceptance,chain_2,0.23925
support_relaxed_beta1_gt_0,chain_acceptance,chain_3,0.24805
support_relaxed_beta1_gt_0,rhat,k,1.00054759
support_relaxed_beta1_gt_0,rhat,beta1,1.00006251
support_relaxed_beta1_gt_0,rhat,beta0,1.00006457
support_relaxed_beta1_gt_0,ess,k,4554.83022
support_relaxed_beta1_gt_0,ess,beta1,3886.82744
support_relaxed_beta1_gt_0,ess,beta0,3590.22483
support_relaxed_beta1_gt_0,posterior_fraction_beta1_le_0p5,beta1,0.0
