model,mission_cycles,delta_T,p_survive_mean,p_survive_q025,p_survive_q50,p_survive_q975
Lognormal AFT (Laplace),5000.0,10.0,0.9998830165242735,0.9999263619911095,0.999999999999669,1.0
PICM-C (Laplace),5000.0,10.0,0.6747405670871295,0.0,0.988695351655744,0.999999998171876
PICM-L (Bayesian),5000.0,10.0,0.9997087430571122,0.9975483901010477,0.9999696818581989,0.9999998006602204
Lognormal AFT (Laplace),5000.0,15.0,0.9976264799027454,0.9810874695009105,0.9999994538747468,0.9999999999999999
PICM-C (Laplace),5000.0,15.0,0.6811599629075359,0.0,0.9679884322744083,0.9999994477439198
PICM-L (Bayesian),5000.0,15.0,0.9975630478043691,0.9816461829435307,0.9994575742858911,0.9999899866455451
Lognormal AFT (Laplace),5000.0,20.0,0.9800874098480244,0.8005132895679477,0.99937992685127,0.9999999988050625
PICM-C (Laplace),5000.0,20.0,0.6613030229052451,0.0,0.9183806249745485,0.9999742577209855
PICM-L (Bayesian),5000.0,20.0,0.9882230309576006,0.9262974813949422,0.9958729962182904,0.9998486239704978
Lognormal AFT (Laplace),5000.0,25.0,0.9107245393100412,0.45123561669347534,0.9749930358809327,0.9999878367738144
PICM-C (Laplace),5000.0,25.0,0.6137896941630208,2.1982432536228732e-95,0.8193925547793702,0.9995969414828749
PICM-L (Bayesian),5000.0,25.0,0.9589686747947367,0.7881666394152351,0.9799686997128498,0.9987528736735306
Lognormal AFT (Laplace),5000.0,35.0,0.5118396511504717,0.04739068859176028,0.5174894716569116,0.9544877908622917
PICM-C (Laplace),5000.0,35.0,0.42519197526661345,2.6335022852415073e-34,0.40125103930018324,0.9818582062121374
PICM-L (Bayesian),5000.0,35.0,0.7469803985380138,0.25027316311397907,0.7977661449247253,0.9714494130864555
Lognormal AFT (Laplace),10000.0,10.0,0.9969815361464658,0.9787978344322393,0.9999999634717748,1.0
PICM-C (Laplace),10000.0,10.0,0.5823503868418524,0.0,0.9109701007061712,0.9999999838141516
PICM-L (Bayesian),10000.0,10.0,0.9982620883804836,0.985860330529888,0.9997750982948674,0.9999978733995735
Lognormal AFT (Laplace),10000.0,15.0,0.9618305437624792,0.6147125774559234,0.9989146511418066,0.9999999996326616
PICM-C (Laplace),10000.0,15.0,0.5492537679971081,0.0,0.7675962838757693,0.9999951577682782
PICM-L (Bayesian),10000.0,15.0,0.9851624231175851,0.8969604705741961,0.9960452436940996,0.9999037396407967
Lognormal AFT (Laplace),10000.0,20.0,0.8178050442905667,0.1618849034494135,0.9231617678193509,0.9999597915507132
PICM-C (Laplace),10000.0,20.0,0.48183777399646727,0.0,0.5080656159198785,0.9997905864830111
PICM-L (Bayesian),10000.0,20.0,0.9312004481358956,0.6204026092927877,0.9692843851056522,0.9985429528591054
Lognormal AFT (Laplace),10000.0,25.0,0.542165980648782,0.020759924511103076,0.5631612660259319,0.9886928799907789
PICM-C (Laplace),10000.0,25.0,0.3817217509792841,0.0,0.2025505000259236,0.9967082267989973
PICM-L (Bayesian),10000.0,25.0,0.7875891186769022,0.2057518040561561,0.8575929783188572,0.9885866029336673
Lognormal AFT (Laplace),10000.0,35.0,0.0895217985129785,0.0001084047421667164,0.039766171221877714,0.44994025525187425
PICM-C (Laplace),10000.0,35.0,0.13903841647191167,0.0,0.0006557404945763384,0.8654878085267659
PICM-L (Bayesian),10000.0,35.0,0.2576686291272114,2.2007585329051573e-05,0.18573318269824918,0.7905661977717744
