delta_T_C,mission_cycles,posterior_probability_B10_exceeds_mission
10.0,5000.0,1.0
10.25,5000.0,1.0
10.5,5000.0,1.0
10.75,5000.0,1.0
11.0,5000.0,1.0
11.25,5000.0,1.0
11.5,5000.0,1.0
11.75,5000.0,1.0
12.0,5000.0,1.0
12.25,5000.0,1.0
12.5,5000.0,1.0
12.75,5000.0,1.0
13.0,5000.0,1.0
13.25,5000.0,0.99995
13.5,5000.0,0.9998833333333333
13.75,5000.0,0.9998833333333333
14.0,5000.0,0.9998833333333333
14.25,5000.0,0.9998833333333333
14.5,5000.0,0.9998833333333333
14.75,5000.0,0.9998833333333333
15.0,5000.0,0.9996666666666667
15.25,5000.0,0.9996
15.5,5000.0,0.9995
15.75,5000.0,0.99925
16.0,5000.0,0.9991333333333333
16.25,5000.0,0.9989166666666667
16.5,5000.0,0.9988333333333334
16.75,5000.0,0.99865
17.0,5000.0,0.9978
17.25,5000.0,0.9970833333333333
17.5,5000.0,0.9963833333333333
17.75,5000.0,0.99535
18.0,5000.0,0.9949666666666667
18.25,5000.0,0.99435
18.5,5000.0,0.9938333333333333
18.75,5000.0,0.9922166666666666
19.0,5000.0,0.9909833333333333
19.25,5000.0,0.9897833333333333
19.5,5000.0,0.9885833333333334
19.75,5000.0,0.9873833333333333
20.0,5000.0,0.986
20.25,5000.0,0.984
20.5,5000.0,0.9825166666666667
20.75,5000.0,0.97965
21.0,5000.0,0.9777166666666667
21.25,5000.0,0.9752666666666666
21.5,5000.0,0.9723833333333334
21.75,5000.0,0.96965
22.0,5000.0,0.9665
22.25,5000.0,0.9633
22.5,5000.0,0.96005
22.75,5000.0,0.9555666666666667
23.0,5000.0,0.95115
23.25,5000.0,0.9461166666666667
23.5,5000.0,0.94045
23.75,5000.0,0.9355166666666667
24.0,5000.0,0.9296166666666666
24.25,5000.0,0.9239166666666667
24.5,5000.0,0.9182666666666667
24.75,5000.0,0.9092666666666667
25.0,5000.0,0.90035
25.25,5000.0,0.8921666666666667
25.5,5000.0,0.8829333333333333
25.75,5000.0,0.8725
26.0,5000.0,0.8639166666666667
26.25,5000.0,0.8512666666666666
26.5,5000.0,0.8400666666666666
26.75,5000.0,0.8279166666666666
27.0,5000.0,0.8161166666666667
27.25,5000.0,0.8023833333333333
27.5,5000.0,0.78505
27.75,5000.0,0.7715333333333333
28.0,5000.0,0.7560333333333333
28.25,5000.0,0.74075
28.5,5000.0,0.7245333333333334
28.75,5000.0,0.7064833333333334
29.0,5000.0,0.6854666666666667
29.25,5000.0,0.6695333333333333
29.5,5000.0,0.6518
29.75,5000.0,0.63335
30.0,5000.0,0.6162833333333333
30.25,5000.0,0.5970166666666666
30.5,5000.0,0.5773666666666667
30.75,5000.0,0.5595
31.0,5000.0,0.5364833333333333
31.25,5000.0,0.5173666666666666
31.5,5000.0,0.49538333333333334
31.75,5000.0,0.4774333333333333
32.0,5000.0,0.45553333333333335
32.25,5000.0,0.4353
32.5,5000.0,0.4151666666666667
32.75,5000.0,0.3955666666666667
33.0,5000.0,0.3770833333333333
33.25,5000.0,0.35865
33.5,5000.0,0.33963333333333334
33.75,5000.0,0.3191333333333333
34.0,5000.0,0.3005333333333333
34.25,5000.0,0.2833
34.5,5000.0,0.26413333333333333
34.75,5000.0,0.24908333333333332
35.0,5000.0,0.23173333333333335
35.25,5000.0,0.21476666666666666
35.5,5000.0,0.1988
35.75,5000.0,0.1819
36.0,5000.0,0.16975
36.25,5000.0,0.1568
36.5,5000.0,0.1435
36.75,5000.0,0.13246666666666668
37.0,5000.0,0.11963333333333333
37.25,5000.0,0.10716666666666666
37.5,5000.0,0.09608333333333334
37.75,5000.0,0.08555
38.0,5000.0,0.0782
38.25,5000.0,0.06965
38.5,5000.0,0.062433333333333334
38.75,5000.0,0.05661666666666667
39.0,5000.0,0.049133333333333334
39.25,5000.0,0.04348333333333333
39.5,5000.0,0.039733333333333336
39.75,5000.0,0.03475
40.0,5000.0,0.0307
40.25,5000.0,0.026116666666666667
40.5,5000.0,0.021733333333333334
40.75,5000.0,0.019
41.0,5000.0,0.016233333333333332
41.25,5000.0,0.013883333333333333
41.5,5000.0,0.011516666666666666
41.75,5000.0,0.0097
42.0,5000.0,0.00885
42.25,5000.0,0.00785
42.5,5000.0,0.006833333333333334
42.75,5000.0,0.005416666666666667
43.0,5000.0,0.0047666666666666664
43.25,5000.0,0.00405
43.5,5000.0,0.0033333333333333335
43.75,5000.0,0.0027
44.0,5000.0,0.0023
44.25,5000.0,0.0019666666666666665
44.5,5000.0,0.0019
44.75,5000.0,0.0014833333333333332
45.0,5000.0,0.0009833333333333332
45.25,5000.0,0.0009
45.5,5000.0,0.0008833333333333333
45.75,5000.0,0.0008333333333333334
46.0,5000.0,0.0008
46.25,5000.0,0.00065
46.5,5000.0,0.00065
46.75,5000.0,0.0005333333333333334
47.0,5000.0,0.0004166666666666667
47.25,5000.0,0.00025
47.5,5000.0,8.333333333333333e-05
47.75,5000.0,8.333333333333333e-05
48.0,5000.0,8.333333333333333e-05
48.25,5000.0,8.333333333333333e-05
48.5,5000.0,8.333333333333333e-05
48.75,5000.0,0.0
49.0,5000.0,0.0
49.25,5000.0,0.0
49.5,5000.0,0.0
49.75,5000.0,0.0
50.0,5000.0,0.0
10.0,10000.0,0.99955
10.25,10000.0,0.99935
10.5,10000.0,0.9991666666666666
10.75,10000.0,0.9990666666666667
11.0,10000.0,0.99875
11.25,10000.0,0.9982666666666666
11.5,10000.0,0.9972833333333333
11.75,10000.0,0.9965833333333334
12.0,10000.0,0.9954666666666667
12.25,10000.0,0.9947666666666667
12.5,10000.0,0.9937333333333334
12.75,10000.0,0.99235
13.0,10000.0,0.99115
13.25,10000.0,0.98975
13.5,10000.0,0.9884166666666667
13.75,10000.0,0.9869
14.0,10000.0,0.9844666666666667
14.25,10000.0,0.9824833333333334
14.5,10000.0,0.9792666666666666
14.75,10000.0,0.9761166666666666
15.0,10000.0,0.9739833333333333
15.25,10000.0,0.9708166666666667
15.5,10000.0,0.9670166666666666
15.75,10000.0,0.9619166666666666
16.0,10000.0,0.9570166666666666
16.25,10000.0,0.9525333333333333
16.5,10000.0,0.94715
16.75,10000.0,0.9419333333333333
